,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_France,Geography_Germany,Geography_Spain
101,694,0,37,8,98218.04,2,1,0,182354.46,1,0,1,0
102,619,1,57,3,137946.39,1,1,1,72467.99,1,0,1,0
103,605,1,75,2,61319.63,1,0,1,186655.11,0,0,1,0
104,524,1,32,1,144875.71,1,0,0,187740.04,0,1,0,0
105,764,0,44,1,0.0,2,1,1,11467.38,0,1,0,0
106,649,0,50,5,155393.32,1,1,1,87351.42,1,0,1,0
107,689,0,40,4,78119.59,4,1,0,119259.34,1,0,1,0
108,615,1,30,8,0.0,2,0,0,3183.15,0,1,0,0
109,631,1,33,7,0.0,1,1,1,58043.02,1,1,0,0
110,680,0,48,8,115115.38,1,1,0,139558.6,1,0,1,0
111,648,1,34,0,0.0,1,1,1,167931.81,0,1,0,0
112,572,1,31,5,98108.79,1,0,1,119996.95,0,0,0,1
113,850,1,44,7,89118.26,1,1,0,104240.77,1,0,0,1
114,627,0,35,2,137852.96,1,1,1,172269.21,1,0,1,0
115,663,0,58,5,216109.88,1,0,1,74176.71,1,0,0,1
116,620,0,33,9,127638.35,1,1,1,192717.57,0,1,0,0
117,585,1,50,2,125845.66,1,1,0,9439.31,1,0,1,0
118,508,0,31,7,0.0,2,1,1,6123.15,0,1,0,0
119,754,1,28,8,0.0,2,1,1,52615.62,0,1,0,0
120,730,0,35,0,155470.55,1,1,1,53718.28,0,1,0,0
121,712,1,53,6,134729.99,2,1,1,132702.64,0,0,1,0
122,732,1,36,7,0.0,2,1,1,60830.24,0,1,0,0
123,778,0,29,7,123229.46,1,1,0,181221.09,0,0,1,0
124,691,1,26,9,136623.19,1,1,0,153228.0,0,1,0,0
125,582,0,46,8,67563.31,1,1,0,44506.09,1,0,0,1
126,714,1,34,10,0.0,2,1,1,80234.14,0,1,0,0
127,720,1,52,7,0.0,1,1,1,14781.12,0,1,0,0
128,716,1,31,8,109578.04,2,1,1,51503.51,0,1,0,0
129,593,0,39,0,117704.73,1,1,0,197933.5,0,1,0,0
130,618,1,34,5,134954.53,1,1,1,151954.39,0,1,0,0
131,729,1,39,6,127415.85,1,1,1,184977.2,1,0,1,0
132,724,0,48,6,110463.25,2,1,1,80552.11,1,0,1,0
133,681,0,18,1,98894.39,1,1,1,9596.4,0,1,0,0
134,724,0,33,9,119278.44,1,1,1,197148.24,0,0,1,0
135,767,1,77,8,149083.7,1,1,1,190146.83,0,0,0,1
136,650,0,25,3,86605.5,3,1,0,16649.31,1,0,0,1
137,702,1,50,3,0.0,2,0,0,94949.84,0,1,0,0
138,809,1,80,8,0.0,2,0,1,34164.05,0,0,0,1
139,563,1,35,3,106250.72,1,0,0,39546.32,0,1,0,0
140,537,1,30,1,103138.17,1,1,1,96555.42,0,0,0,1
141,701,1,29,2,0.0,2,1,0,176943.59,0,1,0,0
142,641,0,40,4,101090.27,1,1,1,51703.09,0,0,0,1
143,420,0,31,1,108377.75,2,1,1,9904.63,0,0,1,0
144,648,0,31,5,0.0,2,1,1,5199.02,0,0,0,1
145,540,0,42,9,87271.41,2,1,0,172572.64,0,0,1,0
146,695,1,49,9,159458.53,1,1,0,135841.35,0,1,0,0
147,655,0,28,3,113811.85,2,0,1,76844.23,0,0,0,1
148,805,0,33,3,105663.56,2,0,1,33330.89,0,0,1,0
149,719,1,37,10,145382.61,1,1,0,80408.59,0,0,0,1
150,781,0,29,6,98759.89,1,0,0,112202.64,0,0,0,1
151,668,1,42,3,150461.07,1,1,0,108139.23,0,1,0,0
152,556,1,42,0,115915.53,2,0,1,125435.47,1,0,1,0
153,489,0,47,8,103894.38,2,1,1,107625.46,0,1,0,0
154,683,1,38,7,109346.13,2,1,0,102665.92,0,1,0,0
155,466,1,40,4,91592.06,1,1,0,141210.18,1,1,0,0
156,746,1,34,6,141806.0,2,1,1,183494.87,0,0,1,0
157,668,1,32,7,0.0,2,1,1,777.37,0,1,0,0
158,575,1,47,9,107915.94,2,1,1,63452.18,1,0,1,0
159,783,0,42,2,139707.28,1,1,0,2150.22,0,0,1,0
160,539,0,38,8,82407.51,1,1,0,13123.41,0,0,1,0
161,700,1,38,8,134811.3,1,1,0,1299.75,0,1,0,0
162,690,1,33,5,0.0,2,1,0,138017.68,0,1,0,0
163,461,1,51,9,119889.84,1,0,0,56767.67,1,1,0,0
164,745,0,36,9,0.0,1,1,0,19605.18,1,1,0,0
165,706,0,47,6,120621.89,1,1,1,140803.7,0,0,1,0
166,710,0,31,3,0.0,2,1,1,112289.06,0,1,0,0
167,705,0,50,4,77065.9,2,0,1,145159.26,0,1,0,0
168,678,1,28,5,138668.18,1,1,1,54144.01,0,0,0,1
169,551,1,76,2,128410.71,2,1,1,181718.73,0,0,0,1
170,747,0,41,5,94521.17,2,1,0,194926.86,0,0,0,1
171,547,0,51,1,0.0,2,1,1,56908.41,0,1,0,0
172,779,0,37,2,128389.63,1,1,1,6589.16,1,0,1,0
173,649,1,33,2,0.0,2,1,0,2010.98,0,1,0,0
174,697,0,40,7,130334.35,2,0,1,116951.1,0,0,0,1
175,599,1,36,3,128960.21,2,1,1,40318.33,0,0,1,0
176,680,1,31,1,0.0,2,1,1,3148.2,0,1,0,0
177,571,0,35,1,104783.81,2,0,1,178512.52,0,1,0,0
178,646,1,30,5,98014.74,1,1,1,12757.14,0,1,0,0
179,806,0,37,2,137794.18,2,0,1,75232.02,0,0,0,1
180,554,0,22,8,0.0,2,0,1,142670.61,0,1,0,0
181,635,0,48,4,81556.89,2,1,0,191914.37,0,0,1,0
182,591,1,29,1,97541.24,1,1,1,196356.17,0,0,0,1
183,569,1,25,9,173459.45,2,1,1,44381.06,0,0,1,0
184,645,1,36,4,59893.85,2,1,0,43999.64,0,0,0,1
185,552,1,38,10,132271.12,2,1,1,46562.02,0,0,1,0
186,574,1,35,5,163856.76,1,1,1,15118.2,0,0,1,0
187,758,1,26,4,155739.76,1,1,0,171552.02,0,1,0,0
188,695,0,39,5,0.0,2,0,0,102763.69,0,0,0,1
189,518,1,50,4,0.0,1,0,0,107112.25,1,0,0,1
190,551,1,42,1,50194.59,1,1,1,23399.58,0,1,0,0
191,637,0,41,9,0.0,2,1,0,145477.36,0,1,0,0
192,680,0,30,3,0.0,1,1,0,160131.58,0,0,0,1
193,618,1,41,8,37702.79,1,1,1,195775.48,0,0,1,0
194,575,1,36,1,0.0,1,0,1,94570.56,0,1,0,0
195,519,0,21,1,151701.45,3,1,1,170138.68,1,0,1,0
196,603,0,24,3,0.0,1,1,1,198826.03,1,1,0,0
197,609,1,38,6,140752.06,2,0,1,171430.16,0,0,1,0
198,616,0,43,7,95984.21,1,0,1,115262.54,1,0,1,0
199,811,1,30,6,0.0,2,1,1,180591.32,0,1,0,0
200,615,1,32,5,138521.83,1,1,1,56897.1,0,0,0,1
201,811,1,52,10,76915.4,1,0,0,146359.81,1,0,1,0
202,615,0,30,9,0.0,1,1,0,87347.82,0,1,0,0
203,719,1,69,3,0.0,2,1,1,58320.06,0,1,0,0
204,715,0,31,3,110581.29,1,1,1,94715.24,0,1,0,0
205,727,1,34,10,0.0,2,1,1,198637.34,0,1,0,0
206,601,1,29,9,0.0,1,1,1,80393.27,0,1,0,0
207,684,0,26,2,114035.39,1,0,0,96885.19,0,0,1,0
208,603,1,43,5,127823.93,1,1,1,19483.35,0,1,0,0
209,673,1,51,8,79563.36,2,1,1,172200.91,0,1,0,0
210,709,1,45,4,122917.71,1,1,1,11.58,1,0,1,0
211,566,1,34,3,0.0,1,0,0,188135.69,0,1,0,0
212,706,1,35,5,0.0,2,1,1,81718.37,0,1,0,0
213,726,0,26,1,80780.16,1,1,1,19225.85,0,0,0,1
214,636,0,34,3,0.0,2,1,1,44756.25,0,1,0,0
215,718,1,40,9,0.0,2,0,0,121537.91,0,0,0,1
216,491,0,72,6,91285.22,1,1,1,7032.95,0,1,0,0
217,714,0,49,4,93059.34,1,1,0,7571.51,1,0,1,0
218,611,1,34,4,0.0,2,1,0,170950.58,0,0,0,1
219,628,1,40,5,181768.32,2,1,1,129107.97,0,0,1,0
220,718,1,26,7,147527.03,1,0,0,51099.56,0,0,1,0
221,651,1,53,7,0.0,2,1,1,130132.41,0,1,0,0
222,499,0,38,9,0.0,2,0,1,183042.2,0,1,0,0
223,430,0,38,8,153058.64,1,1,0,99377.27,0,0,1,0
224,631,0,46,10,0.0,2,1,1,129508.96,0,0,0,1
225,577,0,43,3,127940.47,1,0,0,125140.72,1,0,1,0
226,464,1,37,4,155994.15,1,0,0,143665.44,0,0,1,0
227,603,0,48,5,0.0,1,1,0,100478.6,1,1,0,0
228,592,0,26,4,105082.07,2,1,0,132801.57,0,0,1,0
229,635,1,53,8,117005.55,1,0,1,123646.57,1,0,1,0
230,679,0,39,7,91187.9,1,0,1,6075.36,0,0,0,1
231,587,1,40,2,0.0,4,0,1,106174.7,1,1,0,0
232,583,0,40,4,0.0,2,1,0,114093.73,0,0,0,1
233,404,0,54,4,125456.07,1,1,0,83715.66,1,0,1,0
234,576,1,32,7,0.0,2,1,0,4660.91,0,1,0,0
235,850,0,25,8,69385.17,2,1,0,87834.24,0,0,1,0
236,755,1,23,5,84284.48,2,1,1,62851.6,0,1,0,0
237,585,1,42,2,0.0,2,1,1,18657.77,0,1,0,0
238,574,1,34,1,112572.39,1,0,0,165626.6,0,1,0,0
239,742,1,33,1,137937.95,1,1,1,51387.1,0,0,1,0
240,833,0,28,4,136674.51,2,0,0,5278.78,0,1,0,0
241,694,0,22,4,0.0,2,1,1,11525.72,0,1,0,0
242,656,0,39,6,0.0,2,1,0,141069.88,0,1,0,0
243,492,1,35,4,141359.37,2,1,0,39519.53,0,1,0,0
244,793,1,39,3,137817.52,1,0,0,83997.79,0,1,0,0
245,617,0,34,0,131244.65,2,1,0,183229.02,0,1,0,0
246,614,0,39,8,125997.22,1,1,1,128049.34,1,0,1,0
247,786,1,24,2,120135.55,2,1,1,125449.47,0,0,1,0
248,560,0,27,5,0.0,2,1,0,131919.48,0,1,0,0
249,425,0,39,5,0.0,2,1,0,140941.47,0,0,0,1
250,850,1,31,3,0.0,2,1,0,121866.87,0,1,0,0
251,697,0,23,10,0.0,2,1,1,79734.23,0,1,0,0
252,748,1,66,8,0.0,1,1,1,163331.65,0,1,0,0
253,706,1,57,7,0.0,1,1,0,17941.16,1,0,0,1
254,449,0,31,1,113693.0,1,0,0,82796.29,0,0,0,1
255,590,1,22,7,125265.61,1,1,1,161253.08,0,0,0,1
256,733,1,39,1,0.0,2,1,1,141841.31,0,1,0,0
257,496,1,29,2,0.0,2,1,0,55389.59,0,0,0,1
258,711,1,52,5,0.0,1,1,1,159808.95,0,1,0,0
259,587,0,34,1,0.0,2,1,1,97932.68,0,0,0,1
260,539,1,39,3,0.0,2,1,0,36692.17,0,1,0,0
261,562,1,36,5,0.0,1,0,1,182843.24,0,0,0,1
262,606,1,61,5,108166.09,2,0,1,8643.21,0,1,0,0
263,717,0,33,0,115777.23,1,1,1,81508.1,0,0,1,0
264,643,1,39,7,0.0,2,1,1,170392.59,0,1,0,0
265,637,1,43,8,0.0,1,1,0,12156.93,1,0,0,1
266,803,1,31,9,157120.86,2,1,0,141300.53,0,1,0,0
267,579,0,39,2,151963.26,2,1,0,158948.63,0,0,0,1
268,549,0,37,1,130622.34,2,1,1,128499.94,0,0,1,0
269,482,0,48,2,69329.47,1,0,0,102640.52,1,0,1,0
270,611,0,49,2,88915.37,3,0,0,161435.02,1,1,0,0
271,526,0,37,5,53573.18,1,1,0,62830.97,0,1,0,0
272,725,1,40,8,104149.66,1,1,0,62027.9,0,0,1,0
273,588,1,41,6,106116.56,2,1,0,198766.61,0,0,1,0
274,605,1,36,7,128829.25,1,1,0,190588.59,0,1,0,0
275,630,1,26,7,129837.72,2,0,1,197001.15,0,1,0,0
276,737,0,32,7,128551.36,2,0,1,189402.71,0,1,0,0
277,686,0,43,5,154846.24,2,1,1,151903.6,0,0,1,0
278,660,0,61,5,155931.11,1,1,1,158338.39,0,0,0,1
279,607,1,44,0,0.0,2,1,1,81140.09,0,1,0,0
280,850,0,43,8,92244.83,2,1,0,54949.73,0,0,1,0
281,666,0,36,6,0.0,2,1,0,176692.87,0,0,0,1
282,683,1,35,9,61172.04,1,0,0,82951.12,0,0,0,1
283,654,0,54,5,0.0,2,0,1,47139.06,0,0,0,1
284,850,0,37,9,0.0,1,0,0,100101.06,0,1,0,0
285,584,0,41,3,0.0,2,1,1,160095.48,0,1,0,0
286,709,1,62,3,0.0,2,1,1,82195.15,0,0,0,1
287,638,1,57,6,0.0,1,1,0,33676.48,1,1,0,0
288,494,0,33,1,137853.0,1,0,1,90273.85,0,1,0,0
289,695,1,46,3,122549.64,1,1,1,56297.85,0,0,0,1
290,541,0,39,6,109844.81,1,1,0,25289.23,0,1,0,0
291,588,0,64,3,0.0,1,1,1,189703.65,0,1,0,0
292,638,1,37,2,89728.86,2,1,1,37294.88,0,0,1,0
293,637,1,51,1,104682.83,1,1,0,55266.96,1,0,1,0
294,797,1,32,10,114084.6,1,0,1,125782.29,0,1,0,0
295,787,0,38,3,158373.23,1,1,1,28228.35,0,0,1,0
296,714,1,35,3,0.0,2,1,1,95623.28,0,1,0,0
297,546,0,25,3,132837.7,1,1,0,131647.31,0,0,1,0
298,674,1,36,2,0.0,2,1,1,182787.17,0,0,0,1
299,637,0,36,10,145750.45,2,1,1,96660.76,0,0,1,0
300,652,0,47,0,126597.89,2,1,1,38798.79,1,0,1,0
301,729,1,29,5,109676.52,1,1,1,25548.47,0,0,1,0
302,727,1,37,9,101191.83,1,1,1,34551.35,1,0,1,0
303,613,1,44,3,0.0,2,0,1,136491.72,0,1,0,0
304,762,1,20,1,139432.55,1,1,1,85606.83,0,1,0,0
305,556,1,38,2,114756.14,1,1,0,193214.05,0,1,0,0
306,689,1,47,1,93871.95,3,1,0,156878.42,1,1,0,0
307,840,0,51,1,87779.83,1,0,1,36687.11,1,0,1,0
308,831,0,34,2,0.0,2,0,0,165840.94,0,1,0,0
309,686,0,34,3,123971.51,2,1,0,147794.63,0,1,0,0
310,746,1,30,1,112666.67,1,0,0,11710.4,1,0,0,1
311,773,1,43,8,81844.91,2,1,1,35908.46,0,0,1,0
312,527,0,30,6,126663.51,1,1,1,162267.91,0,0,1,0
313,569,1,35,10,124525.52,1,1,1,193793.78,0,1,0,0
314,739,1,19,5,89750.21,1,1,0,193008.52,0,0,0,1
315,598,0,56,4,98365.33,1,1,1,44251.33,0,0,0,1
316,692,1,27,1,125547.53,1,0,0,7900.46,0,1,0,0
317,542,1,35,2,174894.53,1,1,1,22314.55,0,0,0,1
318,486,1,27,7,0.0,2,1,0,28823.04,0,0,0,1
319,647,0,44,5,0.0,3,1,1,174205.22,1,0,0,1
320,648,0,39,3,126935.98,2,0,1,57995.74,0,0,1,0
321,599,1,34,2,101506.66,1,0,0,198030.24,0,0,0,1
322,674,0,36,6,100762.64,1,1,0,182156.86,0,0,1,0
323,514,0,45,3,109032.23,1,0,1,155407.21,1,0,1,0
324,598,1,32,9,123938.6,2,1,0,198894.42,0,0,1,0
325,691,1,34,8,133936.04,2,1,0,91359.79,0,1,0,0
326,742,0,41,4,92805.72,1,0,1,73743.95,1,0,1,0
327,730,1,26,3,0.0,1,1,0,34542.41,0,0,0,1
328,626,0,35,3,0.0,1,0,0,80190.36,0,1,0,0
329,850,0,54,4,120952.74,1,1,0,66963.15,0,0,0,1
330,595,0,44,4,96553.52,2,1,0,143952.24,1,0,1,0
331,572,1,39,4,112290.22,1,1,0,49373.97,1,0,1,0
332,426,1,34,9,0.0,2,1,0,107876.91,0,1,0,0
333,546,1,28,8,0.0,1,1,0,159254.29,0,1,0,0
334,625,0,38,7,0.0,1,1,0,164804.02,0,1,0,0
335,758,0,23,5,122739.1,1,1,0,102460.84,1,0,1,0
336,535,0,50,1,140292.58,3,0,0,69531.22,1,0,0,1
337,514,1,30,7,0.0,1,0,1,125010.24,0,0,0,1
338,795,1,38,7,125903.22,2,1,1,127068.92,0,0,1,0
339,727,0,18,2,93816.7,2,1,0,126172.11,0,0,1,0
340,664,1,35,1,115024.5,1,0,1,169665.79,0,0,0,1
341,649,0,35,4,108306.44,1,1,1,192486.24,0,1,0,0
342,604,0,71,2,0.0,2,1,1,49506.82,0,1,0,0
343,850,1,43,0,108508.82,3,1,0,184044.8,1,0,1,0
344,726,1,37,2,132057.92,2,1,0,34743.98,0,1,0,0
345,730,1,29,2,0.0,2,1,0,14174.09,0,0,0,1
346,555,1,29,4,128744.04,1,1,1,47454.93,0,1,0,0
347,738,0,39,1,94435.45,2,0,1,189430.86,0,1,0,0
348,660,0,36,0,84438.57,1,1,1,181449.51,0,0,0,1
349,738,1,49,6,106770.82,1,1,0,123499.27,0,1,0,0
350,547,0,35,4,0.0,1,1,1,133287.73,0,1,0,0
351,598,0,39,5,0.0,2,1,1,83103.46,0,0,0,1
352,497,1,34,2,0.0,2,1,1,83087.13,0,1,0,0
353,755,0,43,9,0.0,2,1,0,18066.69,0,1,0,0
354,624,1,44,3,0.0,2,1,0,88407.51,0,1,0,0
355,555,0,24,2,0.0,2,0,1,197866.55,0,0,0,1
356,544,0,32,9,110728.39,1,1,1,14559.62,0,1,0,0
357,585,1,36,7,0.0,2,1,0,94283.09,0,1,0,0
358,686,1,35,2,109342.82,2,0,1,86043.27,0,0,1,0
359,750,0,36,6,0.0,2,1,1,59816.41,0,0,0,1
360,463,0,41,8,123151.51,2,1,0,70127.93,0,0,1,0
361,715,1,31,7,0.0,1,1,1,149970.59,0,0,0,1
362,625,0,51,7,136294.97,1,1,0,38867.46,1,1,0,0
363,686,0,41,7,152105.57,2,0,1,132374.41,0,1,0,0
364,636,0,24,9,0.0,2,0,1,38830.72,0,1,0,0
365,598,1,41,3,91536.93,1,1,0,191468.78,1,0,1,0
366,696,0,43,4,0.0,2,1,1,66406.37,0,0,0,1
367,777,1,39,8,0.0,2,1,1,18613.52,0,1,0,0
368,689,1,73,1,108555.07,1,0,1,167969.15,0,0,0,1
369,695,1,40,7,139022.24,1,0,1,193383.13,0,0,1,0
370,575,0,26,7,0.0,2,1,0,112507.63,0,0,0,1
371,733,1,42,9,120094.93,1,1,0,184056.45,0,1,0,0
372,683,1,33,8,0.0,1,0,0,73564.44,0,1,0,0
373,777,0,28,2,134571.5,1,0,1,118313.38,0,1,0,0
374,646,1,48,8,169023.33,2,1,1,175657.55,0,0,1,0
375,593,0,38,4,88736.44,2,1,0,67020.03,0,0,0,1
376,708,1,52,10,105355.81,1,1,0,123.07,1,1,0,0
377,671,0,34,5,130929.02,4,1,1,28238.25,1,0,0,1
378,605,0,31,1,117992.59,1,1,1,183598.77,0,0,1,0
379,607,1,26,1,0.0,1,1,0,29818.2,0,1,0,0
380,693,1,68,4,97705.99,1,1,1,61569.07,0,1,0,0
381,607,1,32,9,144272.07,2,1,0,176580.63,0,0,1,0
382,683,0,29,9,0.0,2,1,1,48849.89,0,1,0,0
383,669,0,38,9,121858.98,1,1,0,130755.34,0,1,0,0
384,698,1,48,4,101238.24,2,0,1,177815.87,1,1,0,0
385,695,1,46,7,49512.55,1,1,0,133007.34,0,1,0,0
386,743,1,36,4,0.0,2,1,1,190911.02,0,1,0,0
387,626,0,47,2,103108.8,1,0,1,166475.44,1,0,1,0
388,586,0,60,3,47020.65,2,0,1,63241.21,1,1,0,0
389,788,0,33,5,0.0,2,0,0,116978.19,0,1,0,0
390,717,0,59,4,0.0,2,1,1,170528.63,0,1,0,0
391,720,1,31,4,141356.47,1,0,0,137985.69,0,0,0,1
392,660,1,35,7,0.0,2,1,0,13218.6,0,1,0,0
393,543,1,30,6,73481.05,1,1,1,176692.65,0,0,1,0
394,707,0,52,7,0.0,1,1,0,109688.82,1,0,0,1
395,850,1,31,4,146587.3,1,1,1,89874.82,0,0,1,0
396,646,0,44,2,113063.83,1,0,0,53072.49,1,0,1,0
397,662,1,32,9,0.0,2,0,0,65089.38,0,1,0,0
398,679,1,47,10,198546.1,2,1,0,191198.92,1,1,0,0
399,616,1,30,5,0.0,2,0,1,196108.51,0,0,0,1
400,743,0,46,9,0.0,1,1,0,113436.08,0,1,0,0
401,553,0,27,3,0.0,2,0,0,159800.16,0,1,0,0
402,600,0,50,6,94684.27,1,1,1,50488.91,0,0,0,1
403,507,0,29,6,0.0,2,0,1,94780.9,0,0,0,1
404,736,0,26,0,84587.9,1,0,1,188037.76,0,0,1,0
405,712,0,29,7,77919.78,1,1,0,122547.58,0,0,0,1
406,632,1,41,0,106134.46,1,0,1,105570.39,0,1,0,0
407,608,1,42,5,0.0,2,1,0,178504.29,0,1,0,0
408,399,1,46,2,127655.22,1,1,0,139994.68,1,0,1,0
409,521,1,43,8,0.0,1,1,1,93180.09,0,1,0,0
410,594,0,26,6,135067.52,2,0,0,131211.86,0,0,1,0
